year,value,income_group_encoded,groupscommodity_encoded,region_encoded,politicsest_encoded
19.0,17.602014353053946,3,2,2,1
20.0,17.478905292729095,3,2,2,1
21.0,17.417203101501645,3,2,2,1
17.0,19.07043022508532,3,2,0,1
18.0,19.058971452699083,3,2,0,1
19.0,19.071068121361435,3,2,0,1
20.0,19.087322750349255,3,2,0,1
21.0,19.10821772171296,3,2,0,1
17.0,19.288902455770156,0,2,4,0
18.0,19.371515504936035,0,2,4,0
19.0,19.395413580271903,0,2,4,0
20.0,19.349671294658155,0,2,4,0
21.0,19.399722403921263,0,2,4,0
17.0,18.728552875991685,3,2,2,1
18.0,18.714260398926104,3,2,2,1
19.0,18.78486125750182,3,2,2,1
20.0,18.83780693656163,3,2,2,1
21.0,18.820495257478377,3,2,2,1
17.0,13.516957611089074,0,2,1,0
18.0,13.432554705045705,0,2,1,0
19.0,13.37382846100282,0,2,1,0
20.0,13.31999217826543,0,2,1,0
21.0,13.25589552002857,0,2,1,0
17.0,16.545650377047846,0,2,0,0
18.0,16.63651026535135,0,2,0,0
19.0,16.927431752804782,0,2,0,0
20.0,16.92375828445573,0,2,0,0
21.0,16.89663586219163,0,2,0,0
17.0,16.422413650824154,2,2,0,1
18.0,16.29950020409958,2,2,0,1
19.0,16.217307391584367,2,2,0,1
20.0,16.082468576942105,2,2,0,1
21.0,16.02378508137718,2,2,0,1
17.0,14.83313004887728,2,2,1,1
18.0,14.877083964886285,2,2,1,1
19.0,14.850934879752371,2,2,1,1
20.0,14.58580441057801,2,2,1,1
21.0,14.556686184088251,2,2,1,1
17.0,20.245756511906777,0,2,4,0
18.0,20.399788836685488,0,2,4,0
19.0,20.51254073278296,0,2,4,0
20.0,20.47062923626639,0,2,4,0
21.0,20.476923514236514,0,2,4,0
17.0,17.666706567349703,0,2,1,0
18.0,17.758076366782895,0,2,1,0
19.0,17.783085595469554,0,2,1,0
20.0,17.714681346337304,0,2,1,0
21.0,17.532954412298917,0,2,1,0
17.0,14.590192102356106,2,2,1,1
18.0,14.645502822304818,2,2,1,1
19.0,14.713067299346491,2,2,1,1
20.0,14.70373139063045,2,2,1,1
21.0,14.713800645994413,2,2,1,1
17.0,20.14223122931419,0,2,3,1
18.0,20.1730367450618,0,2,3,1
19.0,20.13729274632385,0,2,3,1
20.0,20.068594863617825,0,2,3,1
21.0,20.061381251009287,0,2,3,1
17.0,10.346441105055284,3,2,6,1
18.0,10.076221629305257,3,2,6,1
19.0,10.3014243942235,3,2,6,1
20.0,10.372709626447044,3,2,6,1
21.0,9.657203308780275,3,2,6,1
17.0,12.08819523042019,0,2,2,0
18.0,11.984995707299339,0,2,2,0
19.0,11.992390444151308,0,2,2,0
20.0,11.538992742032393,0,2,2,0
21.0,11.608062902582752,0,2,2,0
17.0,16.295385486515325,3,2,0,1
18.0,16.245756055510284,3,2,0,1
19.0,16.245803582600953,3,2,0,1
20.0,16.12581686551342,3,2,0,1
21.0,15.992593763970365,3,2,0,1
17.0,13.853770232544809,0,2,1,0
18.0,13.913545204853543,0,2,1,0
19.0,13.963931425151141,0,2,1,0
20.0,13.845070331079134,0,2,1,0
21.0,13.898933086066124,0,2,1,0
17.0,10.373522431293592,3,2,1,1
18.0,10.315630315397533,3,2,1,1
19.0,10.465984899076615,3,2,1,1
20.0,10.351405324899678,3,2,1,1
21.0,10.477316144080852,3,2,1,1
17.0,16.98851001144275,3,2,2,1
18.0,17.008847052878107,3,2,2,1
19.0,17.047239466915137,3,2,2,1
20.0,16.993422753282452,3,2,2,1
21.0,17.05674264877708,3,2,2,1
17.0,11.685280857452334,0,2,1,0
18.0,11.401736887996872,0,2,1,0
19.0,10.602741051527834,0,2,1,0
20.0,10.196903156835669,0,2,1,0
21.0,8.66319648553608,0,2,1,0
17.0,15.231194046737615,1,2,6,1
18.0,15.08527138372705,1,2,6,1
19.0,15.144784995653977,1,2,6,1
20.0,14.891400300519397,1,2,6,1
21.0,14.77294361704669,1,2,6,1
17.0,13.538439983884853,0,2,1,0
18.0,13.559457635014732,0,2,1,0
19.0,13.4867300639009,0,2,1,0
20.0,13.37654192240655,0,2,1,0
21.0,13.381385138850398,0,2,1,0
17.0,17.090842365581015,3,2,2,1
18.0,17.064100551644785,3,2,2,1
19.0,17.0904642508708,3,2,2,1
20.0,16.990727075277118,3,2,2,1
21.0,16.974339136802556,3,2,2,1
17.0,9.995656440007505,3,2,1,0
18.0,9.933094897288786,3,2,1,0
19.0,9.90353755128617,3,2,1,0
20.0,9.928228944424575,3,2,1,0
21.0,9.907828118634548,3,2,1,0
17.0,14.612299928706062,0,2,1,0
18.0,14.541436593545129,0,2,1,0
19.0,14.469518182077643,0,2,1,0
20.0,14.455226898054056,0,2,1,0
21.0,14.406587913710545,0,2,1,0
17.0,14.541091530233718,2,2,3,1
18.0,14.522181380460504,2,2,3,1
19.0,14.43558207950574,2,2,3,1
20.0,14.36146256299584,2,2,3,1
21.0,14.571463978879432,2,2,3,1
17.0,10.064032034093815,2,2,1,1
18.0,10.083305979111964,2,2,1,1
19.0,10.055951095662596,2,2,1,1
20.0,10.102379394048045,2,2,1,1
